0 qid:5559 1:0.054941 2:0.269231 3:0.444444 4:1.000000 5:0.061097 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.342432 12:0.303280 13:0.485343 14:1.000000 15:0.409667 16:0.043776 17:0.210526 18:0.611111 19:1.000000 20:0.044286 21:0.779299 22:0.584044 23:0.746903 24:0.668093 25:0.665794 26:1.000000 27:0.621787 28:0.788419 29:0.520234 30:0.852143 31:0.806168 32:0.884912 33:1.000000 34:1.000000 35:0.992040 36:1.000000 37:0.819445 38:0.410009 39:0.622750 40:0.543857 41:0.029875 42:0.028037 43:0.120370 44:0.666667 45:0.933333 46:0.000000 #docid = GX055-16-11335333 inc = 1 prob = 0.183106
2 qid:5304 1:0.046995 2:0.200000 3:0.500000 4:0.000000 5:0.050273 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.062720 12:0.169653 13:0.615972 14:0.000000 15:0.067532 16:0.023492 17:0.214286 18:0.066667 19:0.500000 20:0.023629 21:0.942290 22:0.683173 23:0.786987 24:0.545837 25:0.395949 26:0.620392 27:0.401081 28:0.762836 29:0.977499 30:0.541026 31:0.689861 32:0.433833 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.950899 38:0.670763 39:0.755219 40:0.624533 41:0.009452 42:0.125000 43:0.000000 44:0.250000 45:0.170732 46:0.000000 #docid = GX231-46-15918374 inc = 1 prob = 0.201327
2 qid:5304 1:0.046995 2:0.200000 3:0.500000 4:0.000000 5:0.050273 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.062720 12:0.169653 13:0.615972 14:0.000000 15:0.067532 16:0.023492 17:0.214286 18:0.066667 19:0.500000 20:0.023629 21:0.942290 22:0.683173 23:0.786987 24:0.545837 25:0.395949 26:0.620392 27:0.401081 28:0.762836 29:0.977499 30:0.541026 31:0.689861 32:0.433833 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.950899 38:0.670763 39:0.755219 40:0.624533 41:0.009452 42:0.125000 43:0.000000 44:0.250000 45:0.170732 46:0.000000 #docid = GX231-46-15918374 inc = 1 prob = 0.201327
2 qid:5304 1:0.046995 2:0.200000 3:0.500000 4:0.000000 5:0.050273 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.062720 12:0.169653 13:0.615972 14:0.000000 15:0.067532 16:0.023492 17:0.214286 18:0.066667 19:0.500000 20:0.023629 21:0.942290 22:0.683173 23:0.786987 24:0.545837 25:0.395949 26:0.620392 27:0.401081 28:0.762836 29:0.977499 30:0.541026 31:0.689861 32:0.433833 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.950899 38:0.670763 39:0.755219 40:0.624533 41:0.009452 42:0.125000 43:0.000000 44:0.250000 45:0.170732 46:0.000000 #docid = GX231-46-15918374 inc = 1 prob = 0.201327
1 qid:3667 1:0.005848 2:0.000000 3:0.333333 4:0.000000 5:0.005366 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.006525 12:0.000000 13:0.355170 14:0.000000 15:0.005963 16:0.001220 17:0.105263 18:0.545455 19:0.500000 20:0.001186 21:0.854494 22:0.903968 23:0.564078 24:0.925587 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.249793 30:0.036360 31:0.000823 32:0.017269 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.816783 38:0.866378 39:0.539811 40:0.903804 41:0.005336 42:0.011299 43:0.017937 44:0.750000 45:0.488372 46:0.000000 #docid = GX021-31-6202881 inc = 1 prob = 0.0926049
1 qid:3667 1:0.005848 2:0.000000 3:0.333333 4:0.000000 5:0.005366 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.006525 12:0.000000 13:0.355170 14:0.000000 15:0.005963 16:0.001220 17:0.105263 18:0.545455 19:0.500000 20:0.001186 21:0.854494 22:0.903968 23:0.564078 24:0.925587 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.249793 30:0.036360 31:0.000823 32:0.017269 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.816783 38:0.866378 39:0.539811 40:0.903804 41:0.005336 42:0.011299 43:0.017937 44:0.750000 45:0.488372 46:0.000000 #docid = GX021-31-6202881 inc = 1 prob = 0.0926049
1 qid:3667 1:0.005848 2:0.000000 3:0.333333 4:0.000000 5:0.005366 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.006525 12:0.000000 13:0.355170 14:0.000000 15:0.005963 16:0.001220 17:0.105263 18:0.545455 19:0.500000 20:0.001186 21:0.854494 22:0.903968 23:0.564078 24:0.925587 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.249793 30:0.036360 31:0.000823 32:0.017269 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.816783 38:0.866378 39:0.539811 40:0.903804 41:0.005336 42:0.011299 43:0.017937 44:0.750000 45:0.488372 46:0.000000 #docid = GX021-31-6202881 inc = 1 prob = 0.0926049
1 qid:2540 1:0.150000 2:0.000000 3:0.500000 4:0.000000 5:0.146465 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.137624 12:0.000000 13:0.500000 14:0.000000 15:0.138758 16:0.086002 17:0.291667 18:0.666667 19:0.571429 20:0.086903 21:0.697731 22:0.670109 23:0.783901 24:0.708545 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.504600 30:0.076633 31:0.014966 32:0.035209 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.677991 38:0.656358 39:0.763322 40:0.712808 41:0.025023 42:0.064044 43:0.009167 44:0.750000 45:0.809524 46:0.000000 #docid = GX061-32-12577523 inc = 1 prob = 0.455112
1 qid:2540 1:0.150000 2:0.000000 3:0.500000 4:0.000000 5:0.146465 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.137624 12:0.000000 13:0.500000 14:0.000000 15:0.138758 16:0.086002 17:0.291667 18:0.666667 19:0.571429 20:0.086903 21:0.697731 22:0.670109 23:0.783901 24:0.708545 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.504600 30:0.076633 31:0.014966 32:0.035209 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.677991 38:0.656358 39:0.763322 40:0.712808 41:0.025023 42:0.064044 43:0.009167 44:0.750000 45:0.809524 46:0.000000 #docid = GX061-32-12577523 inc = 1 prob = 0.455112
1 qid:2540 1:0.150000 2:0.000000 3:0.500000 4:0.000000 5:0.146465 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.137624 12:0.000000 13:0.500000 14:0.000000 15:0.138758 16:0.086002 17:0.291667 18:0.666667 19:0.571429 20:0.086903 21:0.697731 22:0.670109 23:0.783901 24:0.708545 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.504600 30:0.076633 31:0.014966 32:0.035209 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.677991 38:0.656358 39:0.763322 40:0.712808 41:0.025023 42:0.064044 43:0.009167 44:0.750000 45:0.809524 46:0.000000 #docid = GX061-32-12577523 inc = 1 prob = 0.455112
1 qid:4765 1:0.124339 2:0.000000 3:0.000000 4:0.000000 5:0.124011 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.058146 12:0.000000 13:0.000000 14:0.000000 15:0.057659 16:0.171975 17:0.266667 18:0.188406 19:0.454545 20:0.171764 21:0.637450 22:0.671043 23:0.571163 24:0.520935 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.000000 30:0.000000 31:0.000000 32:0.000000 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.644939 38:0.667642 39:0.569541 40:0.518053 41:1.000000 42:0.015748 43:0.153846 44:0.500000 45:0.580000 46:0.000000 #docid = GX059-39-8274140 inc = 0.685618920280057 prob = 0.27213
