0 qid:1418 1:0.113154 2:0.000000 3:0.000000 4:1.000000 5:0.114407 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.050275 12:0.000000 13:0.000000 14:0.834457 15:0.051819 16:0.199043 17:0.037037 18:0.000000 19:0.357143 20:0.199066 21:0.281015 22:0.003118 23:0.000000 24:0.225008 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.000000 30:0.000000 31:0.000000 32:0.000000 33:0.834457 34:0.036365 35:0.003192 36:0.088714 37:0.286352 38:0.020411 39:0.000000 40:0.224180 41:0.201310 42:0.047619 43:0.000000 44:0.250000 45:0.275862 46:0.000000 #docid = GX267-34-15810063 inc = 0.0957782038976445 prob = 0.122358
0 qid:8120 1:0.745854 2:0.148148 3:0.750000 4:1.000000 5:0.749888 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:0.176385 13:0.697221 14:1.000000 15:1.000000 16:0.908799 17:0.105263 18:0.470588 19:0.333333 20:0.909179 21:0.847987 22:0.759608 23:0.717616 24:0.748096 25:0.720554 26:0.854218 27:0.668301 28:0.799102 29:0.662629 30:0.552961 31:0.429771 32:0.212112 33:0.909027 34:0.954600 35:0.999439 36:0.963381 37:0.849777 38:0.764033 39:0.722110 40:0.751957 41:0.022052 42:0.046512 43:0.055556 44:0.571429 45:0.477612 46:0.000000 #docid = GX006-25-6967371 inc = 1 prob = 0.127384
0 qid:8120 1:0.745854 2:0.148148 3:0.750000 4:1.000000 5:0.749888 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:0.176385 13:0.697221 14:1.000000 15:1.000000 16:0.908799 17:0.105263 18:0.470588 19:0.333333 20:0.909179 21:0.847987 22:0.759608 23:0.717616 24:0.748096 25:0.720554 26:0.854218 27:0.668301 28:0.799102 29:0.662629 30:0.552961 31:0.429771 32:0.212112 33:0.909027 34:0.954600 35:0.999439 36:0.963381 37:0.849777 38:0.764033 39:0.722110 40:0.751957 41:0.022052 42:0.046512 43:0.055556 44:0.571429 45:0.477612 46:0.000000 #docid = GX006-25-6967371 inc = 1 prob = 0.127384
0 qid:8120 1:0.745854 2:0.148148 3:0.750000 4:1.000000 5:0.749888 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:0.176385 13:0.697221 14:1.000000 15:1.000000 16:0.908799 17:0.105263 18:0.470588 19:0.333333 20:0.909179 21:0.847987 22:0.759608 23:0.717616 24:0.748096 25:0.720554 26:0.854218 27:0.668301 28:0.799102 29:0.662629 30:0.552961 31:0.429771 32:0.212112 33:0.909027 34:0.954600 35:0.999439 36:0.963381 37:0.849777 38:0.764033 39:0.722110 40:0.751957 41:0.022052 42:0.046512 43:0.055556 44:0.571429 45:0.477612 46:0.000000 #docid = GX006-25-6967371 inc = 1 prob = 0.127384
1 qid:3338 1:0.146643 2:0.200000 3:0.333333 4:0.000000 5:0.150177 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.148928 12:0.198771 13:0.380552 14:0.000000 15:0.153777 16:0.062139 17:0.208333 18:0.625000 19:0.500000 20:0.062585 21:0.892582 22:0.964109 23:0.963879 24:0.913919 25:0.166782 26:0.009213 27:0.000287 28:0.006475 29:0.230357 30:0.048692 31:0.003218 32:0.032571 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.891897 38:0.948825 39:0.946755 40:0.874511 41:0.064272 42:0.166667 43:0.625000 44:0.500000 45:0.614035 46:0.000000 #docid = GX010-19-0932978 inc = 1 prob = 0.965655
1 qid:3338 1:0.146643 2:0.200000 3:0.333333 4:0.000000 5:0.150177 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.148928 12:0.198771 13:0.380552 14:0.000000 15:0.153777 16:0.062139 17:0.208333 18:0.625000 19:0.500000 20:0.062585 21:0.892582 22:0.964109 23:0.963879 24:0.913919 25:0.166782 26:0.009213 27:0.000287 28:0.006475 29:0.230357 30:0.048692 31:0.003218 32:0.032571 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.891897 38:0.948825 39:0.946755 40:0.874511 41:0.064272 42:0.166667 43:0.625000 44:0.500000 45:0.614035 46:0.000000 #docid = GX010-19-0932978 inc = 1 prob = 0.965655
1 qid:3338 1:0.146643 2:0.200000 3:0.333333 4:0.000000 5:0.150177 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.148928 12:0.198771 13:0.380552 14:0.000000 15:0.153777 16:0.062139 17:0.208333 18:0.625000 19:0.500000 20:0.062585 21:0.892582 22:0.964109 23:0.963879 24:0.913919 25:0.166782 26:0.009213 27:0.000287 28:0.006475 29:0.230357 30:0.048692 31:0.003218 32:0.032571 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.891897 38:0.948825 39:0.946755 40:0.874511 41:0.064272 42:0.166667 43:0.625000 44:0.500000 45:0.614035 46:0.000000 #docid = GX010-19-0932978 inc = 1 prob = 0.965655
0 qid:7700 1:0.034014 2:0.090909 3:0.250000 4:0.000000 5:0.040541 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.043852 12:0.107134 13:0.362009 14:0.000000 15:0.052644 16:0.035229 17:0.257143 18:0.310345 19:0.777778 20:0.036987 21:0.760527 22:0.808365 23:0.783431 24:0.820746 25:0.162082 26:0.167473 27:0.157092 28:0.095052 29:0.306789 30:0.291628 31:0.382323 32:0.245453 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.746816 38:0.790496 39:0.786501 40:0.808119 41:0.000092 42:0.013699 43:0.000000 44:1.000000 45:0.641791 46:0.000000 #docid = GX005-08-11315330 inc = 1 prob = 0.0673304
0 qid:7700 1:0.034014 2:0.090909 3:0.250000 4:0.000000 5:0.040541 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.043852 12:0.107134 13:0.362009 14:0.000000 15:0.052644 16:0.035229 17:0.257143 18:0.310345 19:0.777778 20:0.036987 21:0.760527 22:0.808365 23:0.783431 24:0.820746 25:0.162082 26:0.167473 27:0.157092 28:0.095052 29:0.306789 30:0.291628 31:0.382323 32:0.245453 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.746816 38:0.790496 39:0.786501 40:0.808119 41:0.000092 42:0.013699 43:0.000000 44:1.000000 45:0.641791 46:0.000000 #docid = GX005-08-11315330 inc = 1 prob = 0.0673304
0 qid:7700 1:0.034014 2:0.090909 3:0.250000 4:0.000000 5:0.040541 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.043852 12:0.107134 13:0.362009 14:0.000000 15:0.052644 16:0.035229 17:0.257143 18:0.310345 19:0.777778 20:0.036987 21:0.760527 22:0.808365 23:0.783431 24:0.820746 25:0.162082 26:0.167473 27:0.157092 28:0.095052 29:0.306789 30:0.291628 31:0.382323 32:0.245453 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.746816 38:0.790496 39:0.786501 40:0.808119 41:0.000092 42:0.013699 43:0.000000 44:1.000000 45:0.641791 46:0.000000 #docid = GX005-08-11315330 inc = 1 prob = 0.0673304
0 qid:2507 1:0.006042 2:0.000000 3:1.000000 4:0.000000 5:0.009063 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.006564 12:0.000000 13:0.870369 14:0.000000 15:0.009846 16:0.038569 17:0.000000 18:1.000000 19:0.307692 20:0.039184 21:0.227801 22:0.092348 23:0.208860 24:0.183366 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.344025 30:0.545121 31:0.577723 32:0.644306 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.291071 38:0.144520 39:0.258371 40:0.214294 41:0.000246 42:0.022727 43:0.000000 44:0.666667 45:0.280702 46:0.000000 #docid = GX052-68-15696327 inc = 1 prob = 0.0850074
