#iter   | Sel. F.  | NDCG@10-T | NDCG@10-V | Status    |
--------------------------------------------------------
1       | 39       | 0.4908    | 0.5507    | OK        |
2       | 39       |           |           | ROLLBACK  |
3       | 23       | 0.4849    | 0.5486    | OK        |
4       | 23       |           |           | ROLLBACK  |
5       | 22       | 0.4669    | 0.5121    | OK        |
6       | 38       | 0.466     | 0.5169    | OK        |
7       | 38       |           |           | ROLLBACK  |
8       | 22       | 0.4669    | 0.5121    | OK        |
9       | 40       | 0.4666    | 0.5134    | OK        |
10      | 40       |           |           | ROLLBACK  |
11      | 22       | 0.4669    | 0.5121    | OK        |
12      | 22       |           |           | ROLLBACK  |
13      | 24       | 0.464     | 0.5138    | DAMN      |
13      | 22       | 0.4669    | 0.5121    | OK        |
14      | 22       | 0.4669    | 0.5121    | OK        |
15      | 22       | 0.4669    | 0.5121    | OK        |
16      | 37       | 0.466     | 0.5128    | OK        |
17      | 37       | 0.4671    | 0.5127    | OK        |
18      | 37       | 0.4651    | 0.5123    | OK        |
19      | 37       | 0.464     | 0.5141    | OK        |
20      | 37       | 0.464     | 0.5151    | OK        |
21      | 12       | 0.4688    | 0.5161    | OK        |
22      | 12       | 0.4717    | 0.5193    | OK        |
23      | 12       | 0.4722    | 0.5192    | OK        |
24      | 32       | 0.4718    | 0.5167    | OK        |
25      | 32       | 0.4706    | 0.5147    | OK        |
26      | 5        | 0.473     | 0.5176    | OK        |
27      | 5        | 0.4717    | 0.5214    | OK        |
28      | 5        | 0.4727    | 0.5229    | OK        |
29      | 5        | 0.4742    | 0.5263    | OK        |
30      | 5        | 0.474     | 0.5282    | OK        |
31      | 1        | 0.4751    | 0.526     | OK        |
32      | 1        | 0.4759    | 0.5272    | OK        |
33      | 1        | 0.4752    | 0.5311    | OK        |
34      | 1        | 0.475     | 0.5302    | OK        |
35      | 1        | 0.4756    | 0.5272    | OK        |
36      | 16       | 0.4734    | 0.5295    | DAMN      |
36      | 16       | 0.4734    | 0.5295    | DAMN      |
36      | 16       | 0.4734    | 0.5295    | DAMN      |
36      | 23       | 0.4785    | 0.5275    | OK        |
37      | 23       | 0.4786    | 0.5279    | OK        |
38      | 23       | 0.4794    | 0.527     | OK        |
39      | 23       | 0.4789    | 0.5296    | OK        |
40      | 23       | 0.4796    | 0.5323    | OK        |
41      | 23       | 0.4805    | 0.5319    | OK        |
42      | 23       | 0.4809    | 0.5324    | OK        |
43      | 23       | 0.4819    | 0.5351    | OK        |
44      | 23       | 0.4818    | 0.5345    | OK        |
45      | 23       | 0.4825    | 0.5344    | OK        |
46      | 23       | 0.4819    | 0.5353    | OK        |
47      | 23       | 0.4814    | 0.5356    | OK        |
48      | 23       | 0.4824    | 0.5367    | OK        |
49      | 23       | 0.4824    | 0.5374    | OK        |
50      | 23       | 0.4836    | 0.5375    | OK        |
51      | 23       | 0.4842    | 0.5379    | OK        |
52      | 23       | 0.4847    | 0.538     | OK        |
53      | 23       | 0.4855    | 0.538     | OK        |
54      | 45       | 0.485     | 0.5382    | OK        |
55      | 45       | 0.4838    | 0.5379    | OK        |
56      | 45       | 0.4844    | 0.5381    | OK        |
57      | 45       | 0.4851    | 0.5375    | OK        |
58      | 45       | 0.4856    | 0.5369    | OK        |
59      | 45       | 0.4864    | 0.5393    | OK        |
60      | 45       | 0.4863    | 0.5394    | OK        |
61      | 45       | 0.487     | 0.5377    | OK        |
62      | 45       | 0.4873    | 0.5369    | OK        |
63      | 45       | 0.487     | 0.5364    | OK        |
64      | 45       | 0.4868    | 0.5359    | OK        |
65      | 45       | 0.4868    | 0.5354    | OK        |
66      | 45       | 0.4867    | 0.5353    | OK        |
67      | 45       | 0.4866    | 0.5346    | OK        |
68      | 45       | 0.4864    | 0.5342    | OK        |
69      | 45       | 0.4855    | 0.5339    | OK        |
70      | 45       | 0.4862    | 0.5337    | OK        |
71      | 45       | 0.4857    | 0.5328    | OK        |
72      | 45       | 0.4864    | 0.5333    | OK        |
73      | 45       | 0.4859    | 0.533     | OK        |
74      | 45       | 0.485     | 0.5318    | OK        |
75      | 45       | 0.485     | 0.5306    | OK        |
76      | 45       | 0.4856    | 0.5292    | OK        |
77      | 45       | 0.4855    | 0.524     | OK        |
78      | 45       | 0.4847    | 0.5237    | OK        |
79      | 45       | 0.4843    | 0.5231    | OK        |
80      | 45       | 0.4843    | 0.5219    | OK        |
81      | 45       | 0.4849    | 0.5213    | OK        |
82      | 45       | 0.484     | 0.5209    | OK        |
83      | 45       | 0.4844    | 0.5193    | OK        |
84      | 45       | 0.4841    | 0.5189    | OK        |
85      | 45       | 0.4833    | 0.5187    | OK        |
86      | 45       | 0.4823    | 0.5186    | OK        |
87      | 45       | 0.4819    | 0.5174    | OK        |
88      | 45       | 0.4818    | 0.5173    | OK        |
